2024-03-21 21:42:38,667 | WARN  | Transport Connection to: tcp://127.0.0.1:56655 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56655@61616
2024-03-21 21:42:38,667 | WARN  | Transport Connection to: tcp://127.0.0.1:56634 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56634@61616
2024-03-21 21:42:38,666 | WARN  | Transport Connection to: tcp://127.0.0.1:56638 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56638@61616
2024-03-21 21:42:38,666 | WARN  | Transport Connection to: tcp://127.0.0.1:56635 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56635@61616
2024-03-21 21:42:38,666 | WARN  | Transport Connection to: tcp://127.0.0.1:56639 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56639@61616
2024-03-21 21:42:38,666 | WARN  | Transport Connection to: tcp://127.0.0.1:56632 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56632@61616
2024-03-21 21:42:38,665 | WARN  | Transport Connection to: tcp://127.0.0.1:56631 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56631@61616
2024-03-21 21:42:38,665 | WARN  | Transport Connection to: tcp://127.0.0.1:56633 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56633@61616
2024-03-21 21:42:38,665 | WARN  | Transport Connection to: tcp://127.0.0.1:56630 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56630@61616
2024-03-21 21:42:38,664 | WARN  | Transport Connection to: tcp://127.0.0.1:56606 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56606@61616
2024-03-21 21:42:38,664 | WARN  | Transport Connection to: tcp://127.0.0.1:56605 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56605@61616
2024-03-21 21:42:38,664 | WARN  | Transport Connection to: tcp://127.0.0.1:56625 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56625@61616
